Learner SignUp DateTime,Opportunity Name,Opportunity Category,Opportunity End Date,Gender,Country,Institution Name,Current/Intended Major,Status Description,Opportunity Start Date,Age,Engagement Duration,Month of SignUp,Day of Week of SignUp,Day of Month of SignUp,Year of Signup,Year of Birth,Season
7/7/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,Other,Biology,Team Allocated,8/1/2024,26,95,July,Friday,7,2023,1998,Summer
25/9/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,23,95,September,Monday,25,2023,2001,Fall
23/7/2023,Health Care Management,Internship,12/4/2024,Male,United States,Other,Other,Team Allocated,8/1/2024,22,95,July,Sunday,23,2023,2002,Summer
9/7/2023,Health Care Management,Internship,12/4/2024,Male,United States,Other,Computer Science,Team Allocated,8/1/2024,23,95,July,Sunday,9,2023,2001,Summer
3/10/2023,Health Care Management,Internship,12/4/2024,Female,India,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,26,95,October,Tuesday,3,2023,1998,Fall
5/1/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Computer Applications,Rejected,5/1/2023,22,0,January,Thursday,5,2023,2002,Winter
1/5/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Rejected,1/5/2023,26,0,May,Monday,1,2023,1998,Spring
21/9/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Other,Rejected,21/9/2023,27,0,September,Thursday,21,2023,1997,Fall
6/7/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Public Health,Team Allocated,8/1/2024,23,95,July,Thursday,6,2023,2001,Summer
8/2/2024,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Project Management,Rejected,8/2/2024,48,0,February,Thursday,8,2024,1976,Winter
9/7/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Computer Science,Rejected,9/7/2023,23,0,July,Sunday,9,2023,2001,Summer
30/10/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Computer Science,Rejected,30/10/2023,23,0,October,Monday,30,2023,2001,Fall
15/10/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,University Of Ilorin,Agriculture And Forestry,Rejected,15/10/2023,27,0,October,Sunday,15,2023,1997,Fall
27/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,30,95,August,Sunday,27,2023,1994,Summer
9/7/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Computer Science,Team Allocated,8/1/2024,27,95,July,Sunday,9,2023,1997,Summer
10/10/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,29,95,October,Tuesday,10,2023,1995,Fall
3/10/2023,Health Care Management,Internship,12/4/2024,Female,Cameroon,Other,Medical Laboratory Science,Rejected,3/10/2023,24,0,October,Tuesday,3,2023,2001,Fall
14/8/2023,Health Care Management,Internship,12/4/2024,Male,Ethiopia,Saint Louis University,Cyber Security,Team Allocated,8/1/2024,26,95,August,Monday,14,2023,1998,Summer
2/11/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Computer Science,Team Allocated,8/1/2024,21,95,November,Thursday,2,2023,2003,Fall
12/9/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Nursing,Team Allocated,8/1/2024,32,95,September,Tuesday,12,2023,1992,Fall
7/12/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,University Of Uyo,Other,Team Allocated,8/1/2024,24,95,December,Thursday,7,2023,2000,Winter
9/9/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,23,95,September,Saturday,9,2023,2001,Fall
18/7/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,28,95,July,Tuesday,18,2023,1996,Summer
11/1/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Analytics,Rejected,11/1/2024,22,0,January,Thursday,11,2024,2002,Winter
6/2/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Health Data Science,Rejected,6/2/2024,23,0,February,Tuesday,6,2024,2001,Winter
18/8/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,26,95,August,Friday,18,2023,1998,Summer
24/2/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Cyber Security,Team Allocated,8/1/2024,27,95,February,Friday,24,2023,1997,Winter
20/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Public Health,Rejected,20/8/2023,24,0,August,Sunday,20,2023,2000,Summer
18/8/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,24,95,August,Friday,18,2023,2000,Summer
29/11/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,Other,Nursing,Team Allocated,8/1/2024,20,95,November,Wednesday,29,2023,2004,Fall
23/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Business Analytics,Rejected,23/8/2023,26,0,August,Wednesday,23,2023,1998,Summer
1/9/2023,Health Care Management,Internship,12/4/2024,Female,India,Saint Louis University,Health Data Science,Rejected,1/9/2023,30,0,September,Friday,1,2023,1995,Fall
21/8/2023,Health Care Management,Internship,12/4/2024,Female,India,Saint Louis University,Computer Science,Team Allocated,8/1/2024,22,95,August,Monday,21,2023,2002,Summer
8/12/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Computer Science,Team Allocated,8/1/2024,23,95,December,Friday,8,2023,2001,Winter
29/9/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,26,95,September,Friday,29,2023,1998,Fall
9/1/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,9/1/2024,23,0,January,Tuesday,9,2024,2001,Winter
10/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Electrical And Computer Engineering,Team Allocated,8/1/2024,23,95,August,Thursday,10,2023,2002,Summer
8/9/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Computer Science,Team Allocated,8/1/2024,26,95,September,Friday,8,2023,1998,Fall
14/5/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Computer Science And Engineering,Rejected,14/5/2023,26,0,May,Sunday,14,2023,1998,Spring
27/4/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Computer Science And Information Systems,Team Allocated,8/1/2024,24,95,April,Thursday,27,2023,2000,Spring
14/8/2023,Health Care Management,Internship,12/4/2024,Female,Bangladesh,Other,Mathematics,Team Allocated,8/1/2024,26,95,August,Monday,14,2023,1998,Summer
29/1/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Rejected,29/1/2024,23,0,January,Monday,29,2024,2001,Winter
26/6/2023,Health Care Management,Internship,12/4/2024,Female,India,Saint Louis University,Biology,Team Allocated,8/1/2024,20,95,June,Monday,26,2023,2005,Summer
2/11/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,26,95,November,Thursday,2,2023,1998,Fall
13/2/2024,Health Care Management,Internship,12/4/2024,Male,India,Dhanekula Institute Of Engineering And Technology,Computer Science And Engineering,Rejected,13/2/2024,24,0,February,Tuesday,13,2024,2000,Winter
28/12/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Computer Science,Rejected,28/12/2023,24,0,December,Thursday,28,2023,2000,Winter
5/8/2023,Health Care Management,Internship,12/4/2024,Male,Ethiopia,Other,Computer Science,Team Allocated,8/1/2024,26,95,August,Saturday,5,2023,1998,Summer
9/10/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,25,95,October,Monday,9,2023,1999,Fall
15/6/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,Ahmadu Bello University Zaria,Civil Engineering,Team Allocated,8/1/2024,31,95,June,Thursday,15,2023,1993,Summer
10/11/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Data Analytics,Withdraw,8/1/2024,27,95,November,Friday,10,2023,1997,Fall
19/9/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,22,95,September,Tuesday,19,2023,2002,Fall
6/12/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,30,95,December,Wednesday,6,2023,1994,Winter
29/11/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,26,95,November,Wednesday,29,2023,1998,Fall
24/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Other,Data Analytics,Withdraw,8/1/2024,47,95,August,Thursday,24,2023,1977,Summer
23/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,23/8/2023,25,0,August,Wednesday,23,2023,1999,Summer
30/8/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,27,95,August,Wednesday,30,2023,1997,Summer
22/9/2023,Health Care Management,Internship,12/4/2024,Male,Kenya,Other,Other,Rejected,22/9/2023,33,0,September,Friday,22,2023,1992,Fall
3/12/2023,Health Care Management,Internship,12/4/2024,Male,Ghana,Kwame Nkrumah University Of Science And Technology,Marketing,Team Allocated,8/1/2024,27,95,December,Sunday,3,2023,1997,Winter
27/12/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,29,95,December,Wednesday,27,2023,1995,Winter
27/5/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Information Systems,Rejected,27/5/2023,22,0,May,Saturday,27,2023,2002,Spring
1/9/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Public Health,Rejected,1/9/2023,33,0,September,Friday,1,2023,1991,Fall
12/12/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Electrical And Computer Engineering,Team Allocated,8/1/2024,23,95,December,Tuesday,12,2023,2001,Winter
23/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Information Systems,Team Allocated,8/1/2024,25,95,August,Wednesday,23,2023,1999,Summer
27/11/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,27,95,November,Monday,27,2023,1997,Fall
16/1/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Computer Information Systems,Rejected,16/1/2024,27,0,January,Tuesday,16,2024,1997,Winter
7/2/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,7/2/2024,26,0,February,Wednesday,7,2024,1998,Winter
8/2/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Health Data Science,Rejected,8/2/2024,27,0,February,Thursday,8,2024,1997,Winter
7/11/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,26,95,November,Tuesday,7,2023,1998,Fall
26/9/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Biochemistry,Rejected,26/9/2023,35,0,September,Tuesday,26,2023,1989,Fall
15/8/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Other,Team Allocated,8/1/2024,23,95,August,Tuesday,15,2023,2002,Summer
5/7/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,Other,Other,Team Allocated,8/1/2024,29,95,July,Wednesday,5,2023,1995,Summer
30/8/2023,Health Care Management,Internship,12/4/2024,Female,India,Other,Business Administration,Rejected,30/8/2023,22,0,August,Wednesday,30,2023,2002,Summer
26/1/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Health Data Science,Rejected,26/1/2024,29,0,January,Friday,26,2024,1995,Winter
11/12/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,Other,Pharmacy And Pharmacology,Team Allocated,8/1/2024,31,95,December,Monday,11,2023,1993,Winter
4/10/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,26,95,October,Wednesday,4,2023,1998,Fall
13/2/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,13/2/2024,29,0,February,Tuesday,13,2024,1995,Winter
12/5/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,Other,Education And Training,Team Allocated,8/1/2024,29,95,May,Friday,12,2023,1995,Spring
27/3/2023,Health Care Management,Internship,12/4/2024,Male,Pakistan,Other,Mechatronics Engineering,Rejected,27/3/2023,22,0,March,Monday,27,2023,2002,Spring
18/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Computer Science,Rejected,18/8/2023,24,0,August,Friday,18,2023,2000,Summer
13/8/2023,Health Care Management,Internship,12/4/2024,Female,Ghana,University Of Ghana,Other,Team Allocated,8/1/2024,26,95,August,Sunday,13,2023,1998,Summer
8/10/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Data Analytics,Rejected,8/10/2023,22,0,October,Sunday,8,2023,2002,Fall
5/1/2023,Health Care Management,Internship,12/4/2024,Male,United States,Other,Mechanical Engineering,Team Allocated,8/1/2024,26,95,January,Thursday,5,2023,1999,Winter
26/4/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Information Systems,Team Allocated,8/1/2024,25,95,April,Wednesday,26,2023,1999,Spring
11/2/2024,Health Care Management,Internship,12/4/2024,Male,Gambia,Other,Computer Science,Rejected,11/2/2024,24,0,February,Sunday,11,2024,2000,Winter
9/7/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Computer Information Systems,Team Allocated,8/1/2024,25,95,July,Sunday,9,2023,1999,Summer
16/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Computer Science,Team Allocated,8/1/2024,22,95,August,Wednesday,16,2023,2002,Summer
1/9/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Public Health,Rejected,1/9/2023,28,0,September,Friday,1,2023,1996,Fall
22/11/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Information Systems,Team Allocated,8/1/2024,24,95,November,Wednesday,22,2023,2000,Fall
12/1/2024,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Information Systems,Rejected,12/1/2024,23,0,January,Friday,12,2024,2001,Winter
23/9/2023,Health Care Management,Internship,12/4/2024,Male,India,Cmr Engineering College,Artificial Intelligence And Machine Learning,Team Allocated,8/1/2024,21,95,September,Saturday,23,2023,2003,Fall
26/9/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Computer Information Systems,Team Allocated,8/1/2024,24,95,September,Tuesday,26,2023,2000,Fall
15/8/2023,Health Care Management,Internship,12/4/2024,Female,India,Other,Other,Team Allocated,8/1/2024,22,95,August,Tuesday,15,2023,2002,Summer
2/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Other,Other,Team Allocated,8/1/2024,21,95,August,Wednesday,2,2023,2003,Summer
5/7/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Artificial Intelligence,Team Allocated,8/1/2024,25,95,July,Wednesday,5,2023,1999,Summer
15/8/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,Other,Other,Team Allocated,8/1/2024,27,95,August,Tuesday,15,2023,1997,Summer
15/2/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Computer Science And Information Systems,Rejected,15/2/2024,23,0,February,Thursday,15,2024,2001,Winter
13/2/2024,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Analytics,Rejected,13/2/2024,22,0,February,Tuesday,13,2024,2002,Winter
8/12/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,8/12/2023,24,0,December,Friday,8,2023,2000,Winter
7/9/2023,Health Care Management,Internship,12/4/2024,Female,United States,Other,Medicine,Team Allocated,8/1/2024,18,95,September,Thursday,7,2023,2006,Fall
12/2/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Health Data Science,Rejected,12/2/2024,25,0,February,Monday,12,2024,1999,Winter
16/1/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Epidemiology,Rejected,16/1/2024,28,0,January,Tuesday,16,2024,1996,Winter
17/2/2024,Health Care Management,Internship,12/4/2024,Female,Ghana,University Of Ghana,Psychology,Rejected,17/2/2024,27,0,February,Saturday,17,2024,1997,Winter
12/10/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,25,95,October,Thursday,12,2023,1999,Fall
25/6/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,22,95,June,Sunday,25,2023,2002,Summer
14/6/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,University Of Ibadan,Other,Rejected,14/6/2023,34,0,June,Wednesday,14,2023,1990,Summer
23/9/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,23,95,September,Saturday,23,2023,2001,Fall
14/1/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Analytics,Rejected,14/1/2024,25,0,January,Sunday,14,2024,1999,Winter
6/2/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Mechanical Engineering,Rejected,6/2/2024,23,0,February,Tuesday,6,2024,2001,Winter
20/11/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,20/11/2023,24,0,November,Monday,20,2023,2000,Fall
24/1/2023,Health Care Management,Internship,12/4/2024,Female,India,Other,Computer Science,Rejected,24/1/2023,30,0,January,Tuesday,24,2023,1994,Winter
30/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,26,95,August,Wednesday,30,2023,1998,Summer
20/10/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Data Analytics,Rejected,20/10/2023,24,0,October,Friday,20,2023,2000,Fall
29/8/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,26,95,August,Tuesday,29,2023,1998,Summer
19/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Computer Science And Engineering,Rejected,19/8/2023,21,0,August,Saturday,19,2023,2003,Summer
29/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Information Systems,Team Allocated,8/1/2024,25,95,August,Tuesday,29,2023,1999,Summer
5/8/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Rejected,5/8/2023,26,0,August,Saturday,5,2023,1998,Summer
19/2/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Computer Science,Rejected,19/2/2024,24,0,February,Monday,19,2024,2000,Winter
24/4/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Computer Science,Rejected,24/4/2023,26,0,April,Monday,24,2023,1998,Spring
9/2/2024,Health Care Management,Internship,12/4/2024,Female,Nigeria,Saint Louis University,Biology,Rejected,9/2/2024,37,0,February,Friday,9,2024,1987,Winter
1/3/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Computer Science,Rejected,1/3/2024,24,0,March,Friday,1,2024,2000,Spring
6/12/2023,Health Care Management,Internship,12/4/2024,Female,India,Saint Louis University,Information Systems,Team Allocated,8/1/2024,23,95,December,Wednesday,6,2023,2001,Winter
30/7/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Computer Science And Engineering,Rejected,30/7/2023,21,0,July,Sunday,30,2023,2003,Summer
10/10/2023,Health Care Management,Internship,12/4/2024,Male,Nigeria,University Of Ibadan,Other,Team Allocated,8/1/2024,28,95,October,Tuesday,10,2023,1996,Fall
19/9/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Health Data Science,Team Allocated,8/1/2024,28,95,September,Tuesday,19,2023,1996,Fall
6/8/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Biochemistry,Team Allocated,8/1/2024,24,95,August,Sunday,6,2023,2000,Summer
2/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Civil Engineering,Team Allocated,8/1/2024,22,95,August,Wednesday,2,2023,2002,Summer
22/12/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Data Analytics,Rejected,22/12/2023,22,0,December,Friday,22,2023,2002,Winter
10/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Computer Information Systems,Team Allocated,8/1/2024,23,95,August,Thursday,10,2023,2001,Summer
15/6/2023,Health Care Management,Internship,12/4/2024,Male,Egypt,Other,Pharmacy And Pharmacology,Team Allocated,8/1/2024,23,95,June,Thursday,15,2023,2001,Summer
22/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Electrical Engineering,Team Allocated,8/1/2024,23,95,August,Tuesday,22,2023,2001,Summer
24/2/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,24/2/2024,26,0,February,Saturday,24,2024,1998,Winter
15/8/2023,Health Care Management,Internship,12/4/2024,Female,India,Other,Biotechnology,Team Allocated,8/1/2024,22,95,August,Tuesday,15,2023,2002,Summer
25/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Public Health,Rejected,25/8/2023,28,0,August,Friday,25,2023,1996,Summer
23/12/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,23/12/2023,22,0,December,Saturday,23,2023,2002,Winter
19/12/2023,Health Care Management,Internship,12/4/2024,Female,India,Saint Louis University,Information Systems,Team Allocated,8/1/2024,25,95,December,Tuesday,19,2023,2000,Winter
6/10/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Computer Science,Team Allocated,8/1/2024,26,95,October,Friday,6,2023,1998,Fall
22/4/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Rejected,22/4/2023,24,0,April,Saturday,22,2023,2001,Spring
26/6/2023,Health Care Management,Internship,12/4/2024,Female,Ghana,Other,Other,Team Allocated,8/1/2024,35,95,June,Monday,26,2023,1990,Summer
29/9/2023,Health Care Management,Internship,12/4/2024,Female,India,Saint Louis University,Computer Science,Team Allocated,8/1/2024,25,95,September,Friday,29,2023,1999,Fall
1/6/2023,Health Care Management,Internship,12/4/2024,Female,India,Other,Computer Science,Team Allocated,8/1/2024,22,95,June,Thursday,1,2023,2002,Summer
26/10/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Computer Science,Rejected,26/10/2023,23,0,October,Thursday,26,2023,2001,Fall
8/3/2024,Health Care Management,Internship,12/4/2024,Male,Egypt,Saint Louis University,Health Data Science,Rejected,8/3/2024,24,0,March,Friday,8,2024,2000,Spring
9/7/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Software Engineering,Team Allocated,8/1/2024,24,95,July,Sunday,9,2023,2000,Summer
8/9/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Computer Information Systems,Team Allocated,8/1/2024,23,95,September,Friday,8,2023,2001,Fall
19/8/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Public Health,Team Allocated,8/1/2024,28,95,August,Saturday,19,2023,1996,Summer
25/6/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,University Of Ilorin,Medicine,Team Allocated,8/1/2024,23,95,June,Sunday,25,2023,2001,Summer
6/9/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Public Health,Team Allocated,8/1/2024,26,95,September,Wednesday,6,2023,1999,Fall
5/1/2024,Health Care Management,Internship,12/4/2024,Female,India,Other,Computer Engineering,Rejected,5/1/2024,20,0,January,Friday,5,2024,2004,Winter
6/8/2023,Health Care Management,Internship,12/4/2024,Female,India,Other,Electronics And Communication,Team Allocated,8/1/2024,27,95,August,Sunday,6,2023,1998,Summer
5/7/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Supply Chain Management,Team Allocated,19/2/2024,25,53,July,Wednesday,5,2023,1999,Summer
28/2/2024,Health Care Management,Internship,12/4/2024,Male,Ghana,Accra Technical University,Electrical Engineering,Rejected,28/2/2024,20,0,February,Wednesday,28,2024,2004,Winter
27/6/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Other,Team Allocated,8/1/2024,23,95,June,Tuesday,27,2023,2001,Summer
25/7/2023,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Cyber Security,Team Allocated,8/1/2024,25,95,July,Tuesday,25,2023,1999,Summer
10/7/2023,Health Care Management,Internship,12/4/2024,Male,Bangladesh,Other,Marketing,Team Allocated,8/1/2024,25,95,July,Monday,10,2023,2000,Summer
18/2/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Rejected,18/2/2024,28,0,February,Sunday,18,2024,1996,Winter
2/11/2023,Health Care Management,Internship,12/4/2024,Male,India,Other,Information Systems,Withdraw,8/1/2024,24,95,November,Thursday,2,2023,2000,Fall
11/7/2023,Health Care Management,Internship,12/4/2024,Female,Ghana,University Of Ghana,Other,Team Allocated,8/1/2024,25,95,July,Tuesday,11,2023,1999,Summer
18/5/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Cyber Security,Team Allocated,8/1/2024,28,95,May,Thursday,18,2023,1996,Spring
18/8/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Information Systems,Team Allocated,8/1/2024,27,95,August,Friday,18,2023,1997,Summer
24/8/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Ms Biostatistics And Health Analytics,Team Allocated,8/1/2024,28,95,August,Thursday,24,2023,1996,Summer
23/2/2024,Health Care Management,Internship,12/4/2024,Female,India,Kadi Sarva Vishwavidyalaya,Computer Engineering,Rejected,23/2/2024,22,0,February,Friday,23,2024,2002,Winter
19/8/2023,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Team Allocated,8/1/2024,23,95,August,Saturday,19,2023,2001,Summer
14/12/2023,Health Care Management,Internship,12/4/2024,Male,India,Saint Louis University,Information Systems,Team Allocated,8/1/2024,25,95,December,Thursday,14,2023,1999,Winter
24/2/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,24/2/2024,29,0,February,Saturday,24,2024,1995,Winter
29/2/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Bioinformatics,Rejected,29/2/2024,21,0,February,Thursday,29,2024,2003,Winter
9/9/2023,Health Care Management,Internship,12/4/2024,Male,Bangladesh,Other,Other,Rejected,9/9/2023,26,0,September,Saturday,9,2023,1998,Fall
15/6/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Nursing,Team Allocated,8/1/2024,25,95,June,Thursday,15,2023,1999,Summer
18/2/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Health Data Science,Rejected,18/2/2024,29,0,February,Sunday,18,2024,1995,Winter
2/8/2023,Health Care Management,Internship,12/4/2024,Female,Nigeria,Other,Medicine,Team Allocated,8/1/2024,24,95,August,Wednesday,2,2023,2000,Summer
12/1/2024,Health Care Management,Internship,12/4/2024,Female,United States,Saint Louis University,Information Systems,Rejected,12/1/2024,23,0,January,Friday,12,2024,2001,Winter
15/1/2024,Health Care Management,Internship,12/4/2024,Male,United States,Saint Louis University,Information Systems,Rejected,15/1/2024,23,0,January,Monday,15,2024,2001,Winter
